ID_ADMIN;COORD_X;COORD_Y;ALT_TERRAI;PROFONDE_1
6900;2501555.27;1126550.2;400.2;3.5
5214;2501697.28;1126560.19;394;3
12685;2501569.27;1126989.22;397.11;4
10852;2501897.3;1125972.18;382.64;10
15297;2501107;1127158;424;200
7134;2501274.27;1127202.23;416.5;3.5
9967;2502099.24;1127738.25;378.2;3.2
11129;2499734.29;1126485.25;405.5;2
12009;2501848.92;1127411.92;391.85;3
16433;2501493;1126373;402;160
6389;2502182.26;1127400.26;381;4.6
5250;2501569.28;1126440.19;399;2.5
1458;2500388;1128040;429;10.4
5632;2501394.26;1126027.2;395.7;3
9664;2501815.26;1127445.27;393.4;2.9
14447;2502076.29;1125724.2;375.9;10
7234;2501133.24;1126306.2;420.2;2.8
9453;2501149.24;1126468.23;419.5;2.4
12271;2501850.55;1125892.3;377.57;4.6
5732;2500995.25;1127897.28;423.5;2
13967;2501671.27;1127253.25;393;3.5
12686;2501551.27;1126983.22;398.2;5
8693;2501756.29;1126395.19;388.68;2.9
8822;2500800.23;1126155.25;394.13;21
8547;2501694.28;1126485.19;393.1;2.2
3809;2500301.24;1126760.24;419.86;4.1
16692;2502058.1;1127072.33;381;180
11025;2501889.26;1127488.27;391;1.6
4626;2501739.27;1127225.25;392;3
9323;2501799.26;1127400.27;393;3.6
13968;2501661.27;1127252.25;393;3.5
6257;2501204.24;1126263.19;415.7;3
3655;2501887.27;1127032.24;385.62;12
5731;2501075.26;1127835.28;422;2.3
16119;2501417;1126466;404.3;220
4625;2502083.26;1127480.26;381.8;3.5
6390;2502178.26;1127357.26;379.6;4.2
4078;2499929.28;1126246.28;400.4;12
1229;2501939.3;1125867.18;376;23.5
10639;2501436.27;1126149.18;406.1;1.8
7583;2501954.3;1125941.19;378;7.5
2735;2501719.3;1126095.17;398.53;10.2
2745;2501649.27;1127046.23;393.15;11
5730;2501172.25;1127908.27;421.5;2.2
5733;2500899.25;1127965.28;424.7;2.1
9962;2501699.25;1127753.26;396;6
8128;2501193.24;1126106.2;404;10
12766;2501548.26;1127377.26;399.78;8
1238;2501924.3;1126380.2;385.3;15.6
3806;2500214.25;1126398.27;394.29;3.8
17345;2501824.16;1126418.91;387.11;4
12475;2501751.27;1127200.25;391.44;4.6
7422;2502082.01;1127503.22;381.5;3.5
14153;2501866.27;1127367.27;391;5
9748;2501759.21;1127915.29;403.78;8
6382;2501943.26;1127473.27;387.2;4.4
6393;2502052.27;1127187.26;381.7;4.3
9964;2501877.23;1127812.29;388.4;2.9
1077;2502197.27;1126995.25;373.9;20
612;2502169.29;1125830.2;373.9;10.1
11546;2501270.25;1126042.2;387.4;2
12329;2501888.27;1127291.27;389.66;4.2
5131;2501169.24;1126708.23;419.8;3
14647;2500121.48;1126501.37;416;94
6392;2502073.27;1127200.27;381.8;4.6
17993;2501103.03;1126782.03;419;186
4077;2499852.28;1126251.28;403.3;10
11706;2501054.59;1127192.21;418;130
5080;2501684.28;1126575.19;394;4.2
15461;2501306;1126077;405;273
11041;2501856.26;1127406.27;391;2.5
10791;2501697.28;1126642.2;395.65;12
14523;2501619.28;1126490.19;397.3;1.3
14063;2501944.11;1126883.46;384;200
15247;2501475.9;1126440.8;404;160
12652;2501999.27;1127086.02;382.5;4.6
6272;2501891.28;1126713.21;385.3;4.1
6888;2501254.25;1126244.19;410.8;4.4
8615;2501939.26;1127452.27;387.2;15
6079;2501771.27;1126716.21;388.15;23.5
1461;2500404.25;1128020.27;428.9;8.05
16230;2502080;1128151;387.89;10.5
124;2500239.25;1126540.25;415.52;8.35
12020;2500295.52;1126373.39;406;12.7
6394;2502063.2;1127268.46;384.5;5.1
12655;2501951.27;1127113.25;383.57;6
12019;2500334.47;1126376.05;405.24;12.8
16018;2501455;1126368;403.3;3.6
8802;2501754.3;1126180.18;394.1;4.7
6383;2501943.26;1127416.27;387.2;4.7
6385;2502014.26;1127410.27;384.3;3.5
14074;2502418.3;1128140.64;376;240
14785;2501898.27;1127356.27;390;2.8
16812;2501860;1126617;385.8;6
7152;2501419.27;1126862.21;405.8;1.9
9966;2502044.25;1127735.25;380.7;2.7
14420;2501854.3;1125888.18;377.7;10
12702;2501620.28;1126550.19;397.73;12
8614;2501954.26;1127412.27;387;15.2
15884;2501933;1127435;388;160
1233;2501930.3;1126060.19;387.4;20
7555;2502052.26;1127525.26;381.9;3
11018;2501229.26;1127190.23;419;2.4
8837;2501739.27;1126862.22;391.02;2.3
1462;2500389.23;1127330.27;424.55;10.05
5631;2501394.26;1126046.19;399;4
17307;2501408;1126105;407;185
15382;2501820;1126362;388.05;15
10838;2501966.28;1126685.22;383.55;3.2
7581;2501664.51;1127225.61;393.1;3.2
5331;2501379.26;1125995.2;391.8;4.8
9582;2501124.24;1126800.23;419;2.9
7609;2501914.31;1128035.71;395.5;8
10851;2501896.3;1125995.18;383.5;18
11864;2500352.76;1126437.87;407.02;20
1230;2501953.3;1125913.19;378.07;26.5
10398;2501760.31;1126014.17;392.57;10
12273;2501823.39;1125875.5;377.4;2.5
1242;2501934.27;1127032.24;385;12.1
3812;2500409.24;1127675.27;428.72;3
7571;2501280.25;1126725.22;409.4;3.1
