Easting;Northing;Elevation
2496049.319;1140149.107;1387.1
2496074.319;1140149.107;1371.4
2496099.32;1140149.107;1365.5
2496124.32;1140149.107;1360.9
2496149.32;1140149.107;1363.6
2496174.32;1140149.107;1363.6
2496199.32;1140149.107;1369.7
2496224.32;1140149.107;1372.9
2496249.32;1140149.107;1375.5
2496274.32;1140149.107;1377.6
2496299.32;1140149.107;1380.1
2496324.32;1140149.107;1382.1
2496349.32;1140149.107;1384.1
2496374.32;1140149.107;1388.1
2496399.32;1140149.107;1388.1
2496424.32;1140149.107;1389.1
2496449.32;1140149.107;1389.7
2496474.32;1140149.107;1392.3
2496499.32;1140149.107;1396.4
2495774.319;1140124.107;1384.7
2495799.319;1140124.107;1384.4
2495824.319;1140124.107;1386.6
2495849.319;1140124.107;1389.4
2495874.319;1140124.107;1391.2
2495899.319;1140124.107;1393
2495924.319;1140124.107;1396.4
2495949.319;1140124.107;1396.4
2495974.319;1140124.107;1396.8
2495999.319;1140124.107;1397.1
2496024.319;1140124.107;1396.1
2496049.319;1140124.107;1391.8
2496074.319;1140124.107;1381.9
2496099.32;1140124.107;1368.2
2496124.32;1140124.107;1363.9
2496149.32;1140124.107;1360
2496174.32;1140124.107;1360
2496199.32;1140124.107;1362.2
2496224.32;1140124.107;1366.2
2496249.32;1140124.107;1367.9
2496274.32;1140124.107;1370.5
2496299.32;1140124.107;1375.2
2496324.32;1140124.107;1380.2
2496349.32;1140124.107;1382.3
2496374.32;1140124.107;1386.5
2496399.32;1140124.107;1386.5
2496424.32;1140124.107;1383.3
2496449.32;1140124.107;1383.6
2496474.32;1140124.107;1390.2
2496499.32;1140124.107;1394.9
2496524.32;1140124.107;1397.9
2495749.319;1140099.107;1389.4
2495774.319;1140099.107;1388
2495799.319;1140099.107;1386.5
2495824.319;1140099.107;1385.3
2495849.319;1140099.107;1388
2495874.319;1140099.107;1389.9
2495899.319;1140099.107;1391.7
2495924.319;1140099.107;1395
2495949.319;1140099.107;1395
2495974.319;1140099.107;1395.3
2495999.319;1140099.107;1395.6
2496024.319;1140099.107;1396
2496049.319;1140099.107;1394.1
2496074.319;1140099.107;1390.1
2496099.32;1140099.107;1374
2496124.32;1140099.107;1367.5
2496149.32;1140099.107;1364.1
2496174.32;1140099.107;1364.1
2496199.32;1140099.107;1364.9
2496224.32;1140099.107;1364.5
2496249.32;1140099.107;1365.9
2496274.32;1140099.107;1368.1
2496299.32;1140099.107;1370.1
2496324.32;1140099.107;1375.4
2496349.32;1140099.107;1380.3
2496374.32;1140099.107;1384.9
2496399.32;1140099.107;1384.9
2496424.32;1140099.107;1382.9
2496449.32;1140099.107;1379.5
2496474.32;1140099.107;1386.7
2496499.32;1140099.107;1392.4
2496524.32;1140099.107;1400
2496549.32;1140099.107;1399.6
2495574.318;1140074.107;1417.3
2495599.318;1140074.107;1412
2495624.318;1140074.107;1405.8
2495724.319;1140074.107;1393.3
2495749.319;1140074.107;1392.2
2495774.319;1140074.107;1391
2495799.319;1140074.107;1388.3
2495824.319;1140074.107;1387
2495849.319;1140074.107;1386.5
2495874.319;1140074.107;1389
2495899.319;1140074.107;1390.5
2495924.319;1140074.107;1393.5
2495949.319;1140074.107;1393.5
2495974.319;1140074.107;1393.8
2495999.319;1140074.107;1394.2
2496024.319;1140074.107;1394.5
2496049.319;1140074.107;1394.9
2496074.319;1140074.107;1391.2
2496099.32;1140074.107;1380.3
2496124.32;1140074.107;1373.8
2496149.32;1140074.107;1368.9
2496174.32;1140074.107;1368.9
2496199.32;1140074.107;1369.8
2496224.32;1140074.107;1369.3
2496249.32;1140074.107;1368.7
2496274.32;1140074.107;1369.6
2496299.32;1140074.107;1369.4
2496324.32;1140074.107;1371.5
2496349.32;1140074.107;1377
2496374.32;1140074.107;1382.8
2496399.32;1140074.107;1382.8
2496424.32;1140074.107;1382.6
2496449.32;1140074.107;1379.4
2496474.32;1140074.107;1379.5
2496499.32;1140074.107;1389.6
2496524.32;1140074.107;1399.6
2496549.32;1140074.107;1400.6
2496574.321;1140074.107;1397.8
2495549.318;1140049.107;1420.3
2495574.318;1140049.107;1417.3
2495599.318;1140049.107;1412
2495624.318;1140049.107;1405.8
2495649.319;1140049.107;1399.5
2495674.319;1140049.107;1396.7
2495699.319;1140049.107;1393.3
2495724.319;1140049.107;1393.3
2495749.319;1140049.107;1392.2
2495774.319;1140049.107;1391
2495799.319;1140049.107;1388.3
2495824.319;1140049.107;1387
2495849.319;1140049.107;1386.5
2495874.319;1140049.107;1389
2495899.319;1140049.107;1390.5
2495924.319;1140049.107;1393.5
2495949.319;1140049.107;1393.5
2495974.319;1140049.107;1393.8
2495999.319;1140049.107;1394.2
2496024.319;1140049.107;1394.5
2496049.319;1140049.107;1394.9
2496074.319;1140049.107;1391.2
2496099.32;1140049.107;1380.3
2496124.32;1140049.107;1373.8
2496149.32;1140049.107;1368.9
2496174.32;1140049.107;1368.9
2496199.32;1140049.107;1369.8
2496224.32;1140049.107;1369.3
2496249.32;1140049.107;1368.7
2496274.32;1140049.107;1369.6
2496299.32;1140049.107;1369.4
2496324.32;1140049.107;1371.5
2496349.32;1140049.107;1377
2496374.32;1140049.107;1382.8
2496399.32;1140049.107;1382.8
2496424.32;1140049.107;1382.6
2496449.32;1140049.107;1379.4
2496474.32;1140049.107;1379.5
2496499.32;1140049.107;1389.6
2496524.32;1140049.107;1399.6
2496549.32;1140049.107;1400.6
2496574.321;1140049.107;1397.8
2496599.321;1140049.107;1393.9
2496624.321;1140049.107;1393.9
2496649.321;1140049.107;1391.8
2495524.318;1140024.106;1410.1
2495549.318;1140024.106;1411.3
2495574.318;1140024.106;1410.6
2495599.318;1140024.106;1407.7
2495624.318;1140024.106;1406.7
2495649.319;1140024.106;1402.8
2495674.319;1140024.106;1400.5
2495699.319;1140024.106;1399.5
2495724.319;1140024.106;1399.5
2495749.319;1140024.106;1397.3
2495774.319;1140024.106;1395.1
2495799.319;1140024.106;1392.8
2495824.319;1140024.106;1390
2495849.319;1140024.106;1388.8
2495874.319;1140024.106;1388.1
2495899.319;1140024.106;1388.6
2495924.319;1140024.106;1390.7
2495949.319;1140024.106;1390.7
2495974.319;1140024.106;1391.5
2495999.319;1140024.106;1392.4
2496024.319;1140024.106;1393.1
2496049.319;1140024.106;1393.4
2496074.319;1140024.106;1391.7
2496099.32;1140024.106;1387.5
2496124.32;1140024.106;1381.1
2496149.32;1140024.106;1375.9
2496174.32;1140024.106;1375.9
2496199.32;1140024.106;1375.4
2496224.32;1140024.106;1374.3
2496249.32;1140024.106;1373.5
2496274.32;1140024.106;1372.6
2496299.32;1140024.106;1372.8
2496324.32;1140024.106;1373.3
2496349.32;1140024.106;1372.9
2496374.32;1140024.106;1378.6
2496399.32;1140024.106;1378.6
2496424.32;1140024.106;1381.3
2496449.32;1140024.106;1381.8
2496474.32;1140024.106;1381.7
2496499.32;1140024.106;1383.5
2496524.32;1140024.106;1387.3
2496549.32;1140024.106;1395.5
2496574.321;1140024.106;1397.8
2496599.321;1140024.106;1394.5
2496624.321;1140024.106;1394.5
2496649.321;1140024.106;1392.7
2496674.321;1140024.106;1391
2496699.321;1140024.106;1383.3
2496724.321;1140024.106;1369.8
2496749.321;1140024.106;1351
2496774.321;1140024.106;1336.2
2496799.321;1140024.106;1325.9
2496824.321;1140024.106;1314.4
2496849.321;1140024.106;1314.4
2496874.321;1140024.106;1309.2
2496899.321;1140024.106;1304.8
2496924.321;1140024.106;1300.8
2496949.321;1140024.106;1290.7
2496974.321;1140024.106;1283.4
2496999.321;1140024.106;1278.4
2497024.322;1140024.106;1274.3
2497049.322;1140024.106;1260.5
2497074.322;1140024.106;1260.5
2497099.322;1140024.106;1258.2
2495524.318;1139999.106;1399.6
2495549.318;1139999.106;1402.7
2495574.318;1139999.106;1405.3
2495599.318;1139999.106;1403.8
2495624.318;1139999.106;1403.4
2495649.319;1139999.106;1403.7
2495674.319;1139999.106;1403
2495699.319;1139999.106;1402
2495724.319;1139999.106;1402
2495749.319;1139999.106;1401.2
2495774.319;1139999.106;1398.8
2495799.319;1139999.106;1396.4
2495824.319;1139999.106;1393.7
2495849.319;1139999.106;1392.6
2495874.319;1139999.106;1389.7
2495899.319;1139999.106;1389.1
2495924.319;1139999.106;1390.5
2495949.319;1139999.106;1390.5
2495974.319;1139999.106;1391.4
